id,city
1,Tokoroa
2,Kilwinning
3,Kilwinning
4,Piracicaba
5,Landeck
6,Nicoya
7,Saratov
8,Bremen
9,Landeck
10,Guizhou
11,Alkmaar
12,Kostroma
13,Tarma
14,Dannevirke
15,Yeosu
16,Ipswich
17,Henan
18,Solok
19,Antofagasta
20,Hamm
21,Freital
22,Orkanger
23,Konin
24,Sicuani
25,Bacabal
26,Amstetten
27,Volgograd
28,Montgomery
29,Volgograd
30,Sengkang
31,Cambridge Bay
32,Brampton
33,Ikot Ekpene
34,Graz
35,Silvassa
36,Paya Lebar
37,Tangub
38,Valley East
39,Gangtok
40,Tangub
41,Aurillac
42,Bremerhaven
43,Aurillac
44,Le Grand-Quevilly
45,Midnapore
46,Gießen
47,Jilin
48,North Waziristan
49,Boryeong
50,Jilin
51,Ternate
52,Farsund
53,Zirl
54,Bukit Batok
55,Paita
56,Hammerfest
57,Logan City
58,Mamuju
59,Sievierodonetsk
60,Logan City
61,Lim Chu Kang
62,Ulyanovsk
63,Yangsan
64,Tamworth
65,Durban
66,Koronadal
67,Paita
68,Moere
69,Pematangsiantar
70,Belfast
71,Saint-Dizier
72,Boon Lay
73,Belfast
74,Ludvika
75,Delmenhorst
76,Darwin
77,Jilin
78,Imus
79,Chimbote
80,Silvassa
81,Jilin
82,San Francisco
83,Melton
84,Harstad
85,Castelbuono
86,Sibasa
87,Brovary
88,Fairbanks
89,Town of Yarmouth
90,Kitsman
91,La Higuera
92,Beijing
93,Quesada
94,Guizhou
95,Quesada
96,Oaxaca
97,Da Lat
98,Bastia
99,Pugwash
100,Gorinchem
